{{Mod
|id                               = LocalVaalDamageUnique__1_
|mod_groups                       = LocalVaalDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 80
|granted_skill                    = UniqueSupportLocalVaalDamage
|mod_type                         = LocalVaalDamage
|stat_text                        = [[Item socket|Socketed]] Vaal [[Skill|Skills]] deal 150% more Damage
|stat1_id                         = local_display_socketed_vaal_skills_damage_+%_final
|stat1_min                        = 150
|stat1_max                        = 150
|tags                             = damage, vaal
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
