{{Passive skill
|id                                  = two_handed_damage642
|int_id                              = 8533
|name                                = Two Handed Melee Damage
|icon                                = 2handeddamage
|stat1_id                            = two_handed_melee_physical_damage_+%
|stat1_value                         = 14
|stat2_id                            = two_handed_melee_weapon_ailment_damage_+%
|stat2_value                         = 14
|stat_text                           = 14% increased [[Physical Damage]] with [[Two Handed Melee Weapons]]<br>[[Attack|Attacks]] with [[Two Handed Melee Weapons]] deal 14% increased Damage with Ailments
|connections                         = two_handed_damage647,strength802,two_handed_damage647,two_handed_weapon_attack_speed15
}}
