{{Mod
|id                               = SupportedByAccuracyCorrupted_
|mod_groups                       = SupportedByAccuracy
|domain                           = 1
|generation_type                  = 5
|required_level                   = 48
|granted_skill                    = SupportAdditionalAccuracy
|mod_type                         = SupportedByAccuracy
|stat_text                        = [[Item socket|Socketed]] Gems are supported by [[Additional Accuracy Support|Level 12 Additional Accuracy]]
|stat1_id                         = local_display_socketed_gems_get_additional_accuracy_level
|stat1_min                        = 12
|stat1_max                        = 12
|spawn_weight1_tag                = one_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = sword
|spawn_weight2_value              = 0
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
