{{Passive skill
|id                                  = wand_critical1820
|int_id                              = 52848
|name                                = Wand Critical Strike Chance and Multiplier
|icon                                = WandCritical
|stat1_id                            = wand_critical_strike_chance_+%
|stat1_value                         = 30
|stat2_id                            = wand_critical_strike_multiplier_+
|stat2_value                         = 12
|stat_text                           = 30% increased [[Critical Strike Chance]] with [[Axe|Wands]]<br>+12% to [[Critical Strike Multiplier]] with [[Axe|Wands]]
|connections                         = wand_crit_notable2538,elder_power247
}}
