{{Mod
|id                               = SynthesisImplicitElementalPenetration1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 60
|mod_groups                       = ElementalPenetration
|mod_type                         = ElementalPenetration
|game_mode                        = 0
|stat_text                        = Damage Penetrates (3-5)% [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = reduce_enemy_elemental_resistance_%
|stat1_min                        = 3
|stat1_max                        = 5
|tags                             = elemental_damage, damage, elemental
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
