{{Mod
|id                               = EnchantmentIceNovaMinimumChill2
|domain                           = 1
|generation_type                  = 10
|required_level                   = 75
|name                             = Enchantment Ice Nova Minimum Chill 2
|mod_groups                       = SkillEnchantment
|mod_type                         = EnchantmentIceNovaMinimumChill
|game_mode                        = 0
|stat_text                        = [[Chill|Chills]] from [[Ice Nova]] [[Hit|Hits]] always reduce Action Speed by at least 8%
|stat1_id                         = ice_nova_chill_minimum_slow_%
|stat1_min                        = 8
|stat1_max                        = 8
|spawn_weight1_tag                = helmet
|spawn_weight1_value              = 75
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental, cold, caster, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
