{{Passive skill
|id                                  = attack_mana_cost_to_life_notable_2944
|int_id                              = -2136
|name                                = [UNUSED] Blood Fury
|is_notable                          = True
|icon                                = ManaCostConvertNotable
|stat1_id                            = base_attack_skill_cost_life_instead_of_mana_%
|stat1_value                         = 16
|stat2_id                            = damage_+%_if_skill_costs_life
|stat2_value                         = 20
|stat_text                           = [[Attack]] [[Skill|Skills]] Cost [[Life]] instead of 16% of [[Mana]] Cost<br>20% increased Damage with [[Skill|Skills]] that Cost [[Life]]
}}
