{{Mod
|id                               = MapSupporterPossessed1
|domain                           = 5
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MapSupporterPossessed
|mod_type                         = MapSupporterPossessed
|game_mode                        = 0
|stat_text                        = Rare and Unique Monsters in Area are Possessed by 1 to 2 Tormented Spirits and their [[Minion|Minions]] are Touched<br>3% Chance to convert Maps to Unique Maps<br>24% increased Rarity of Items found in this Area
|stat1_id                         = memory_line_minimum_possessions_of_rare_unique_monsters
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = map_supporter_map_to_unique_map_permyriad
|stat2_min                        = 300
|stat2_max                        = 300
|stat3_id                         = map_item_drop_rarity_+%
|stat3_min                        = 24
|stat3_max                        = 24
|stat4_id                         = memory_line_maximum_possessions_of_rare_unique_monsters
|stat4_min                        = 2
|stat4_max                        = 2
}}
