{{Mod
|id                               = AddedColdDamagePerPowerChargeUnique__2
|mod_groups                       = AddedColdDamagePerPowerCharge
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AddedColdDamagePerPowerCharge
|stat_text                        = Adds 50 to 70 [[Cold Damage]] to [[Spell|Spells]] per [[Power Charge]]
|stat1_id                         = spell_minimum_added_cold_damage_per_power_charge
|stat1_min                        = 50
|stat1_max                        = 50
|stat2_id                         = spell_maximum_added_cold_damage_per_power_charge
|stat2_min                        = 70
|stat2_max                        = 70
|tags                             = elemental_damage, caster_damage, damage, elemental, cold, caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
