{{Mod
|id                               = NecropolisExtraProjectiles2
|domain                           = 36
|generation_type                  = 34
|required_level                   = 46
|mod_groups                       = NecropolisExtraProjectiles
|mod_type                         = NecropolisExtraProjectiles
|game_mode                        = 0
|stat_text                        = [[Skill|Skills]] fire 4 additional Projectiles
|stat1_id                         = number_of_additional_projectiles
|stat1_min                        = 4
|stat1_max                        = 4
|stat2_id                         = monster_necropolis_mod_value_+%
|stat2_min                        = 80
|stat2_max                        = 80
|spawn_weight1_tag                = default
|spawn_weight1_value              = 400
}}
