{{Mod
|id                               = DelveArmourPhysDamageTaken1
|mod_groups                       = FlatPhysicalDamageTaken
|domain                           = 16
|generation_type                  = 2
|required_level                   = 1
|name                             = of the Underground
|mod_type                         = FlatPhysicalDamageTaken
|stat_text                        = -(75-50) [[Physical Damage]] taken from [[Hit|Hits]]
|stat1_id                         = physical_damage_taken_+
|stat1_min                        = -75
|stat1_max                        = -50
|spawn_weight1_tag                = abyss_jewel
|spawn_weight1_value              = 0
|spawn_weight2_tag                = jewel
|spawn_weight2_value              = 0
|spawn_weight3_tag                = body_armour
|spawn_weight3_value              = 0
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = physical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
