{{Mod
|id                               = UnholyMightOnBlockChanceUnique__1
|mod_groups                       = UnholyMightOnBlockChance
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = UnholyMightOnBlockChanceDuration
|stat_text                        = Gain Unholy Might on [[Block|block]] for 10 seconds
|stat1_id                         = chance_to_gain_unholy_might_on_block_%
|stat1_min                        = 100
|stat1_max                        = 100
|stat2_id                         = chance_to_gain_unholy_might_on_block_ms
|stat2_min                        = 10000
|stat2_max                        = 10000
|tags                             = block
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
