{{Mod
|id                               = CannotDealSpellDamageUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = CannotDealSpellDamage
|mod_type                         = CannotDealSpellDamage
|game_mode                        = 0
|stat_text                        = [[Spell]] [[Skill|Skills]] deal no Damage
|stat1_id                         = spell_skills_deal_no_damage
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = caster_damage, damage, caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
