{{Passive skill
|id                                  = totem_ranged_crits2681
|int_id                              = 42632
|name                                = Totem Critical Strike Chance and Multiplier
|icon                                = RangedTotemCriticalStrikes
|stat1_id                            = totem_critical_strike_chance_+%
|stat1_value                         = 20
|stat2_id                            = totem_critical_strike_multiplier_+
|stat2_value                         = 10
|stat_text                           = 20% increased [[Critical Strike Chance]] with [[Totem]] [[Skill|Skills]]<br>+10% to [[Critical Strike Multiplier]] with [[Totem]] [[Skill|Skills]]
|connections                         = totem_ranged_notable2670,totem_ranged_crits2682,totem_ranged_notable2670
}}
