{{Passive skill
|id                                  = sword_damage_and_accuracy45
|int_id                              = 807
|name                                = Sword Damage and Accuracy
|icon                                = accuracysword
|stat1_id                            = physical_sword_damage_+%
|stat1_value                         = 12
|stat2_id                            = sword_accuracy_rating_+%
|stat2_value                         = 8
|stat3_id                            = sword_ailment_damage_+%
|stat3_value                         = 12
|stat_text                           = 12% increased [[Physical Damage]] with [[Sword|Swords]]<br>8% increased [[Accuracy Rating]] with [[Sword|Swords]]<br>[[Sword]] [[Attack|Attacks]] deal 12% increased Damage with Ailments
}}
