{{Mod
|id                               = PoisonExpiresSlowerUnique__1
|mod_groups                       = PoisonExpiresSlower
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = PoisonExpiresSlower
|stat_text                        = [[Poison|Poisons]] on you expire 50% slower
|stat1_id                         = poison_time_passed_+%
|stat1_min                        = -50
|stat1_max                        = -50
|tags                             = poison, chaos, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
