{{Base item
|rarity_id                               = normal
|name                                    = Eternal Bonds
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Separate, stories untold.<br>Together, memories unfold.
|drop_level                              = 78
|tags                                    = maps_divination, unique_divination, maps_unique_divination, unique_corrupted_divination, corrupted_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardEternalBonds
|stack_size                              = 4
|description                             = {{c|unique|{{il|html=|Replica Cortex}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
