{{Mod
|id                               = MonsterCannotCrit_
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = CannotCrit
|mod_type                         = CannotCrit
|game_mode                        = 0
|stat_text                        = Never deal [[Critical strike|Critical Strikes]] (Hidden)
|stat1_id                         = global_cannot_crit
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = critical
}}
