{{Mod
|id                               = AnimalCharmMagicUtilityFlaskEffect1
|mod_groups                       = AnimalCharmMagicUtilityFlaskEffect
|domain                           = 35
|generation_type                  = 1
|required_level                   = 70
|name                             = Pathfinder's
|mod_type                         = AnimalCharmMagicUtilityFlaskEffect
|stat_text                        = Magic Utility [[Flask|Flasks]] applied to you have (6-10)% increased Effect
|stat1_id                         = magic_utility_flask_effect_+%
|stat1_min                        = 6
|stat1_max                        = 10
|spawn_weight1_tag                = dex_animal_charm
|spawn_weight1_value              = 100
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
