{{Mod
|id                               = PhysicalAddedAsColdUniqueFlask8
|mod_groups                       = PhysicalAddedAsColdFlask
|domain                           = 2
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = PhysicalAddedAsColdFlask
|stat_text                        = Gain (10-15)% of [[Physical Damage]] as Extra [[Cold Damage]] during effect
|stat1_id                         = local_unique_flask_physical_damage_%_to_add_as_cold_while_healing
|stat1_min                        = 10
|stat1_max                        = 15
|tags                             = flask, physical_damage, elemental_damage, damage, physical, elemental, cold
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
