{{Mod
|id                               = CannotCastSpellsUnique__1
|mod_groups                       = CannotCastSpells
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = CannotCastSpells
|stat_text                        = Cannot Cast [[Spell|Spells]]
|stat1_id                         = cannot_cast_spells
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
