{{Mod
|id                               = ManaReservationEfficiencyUber1
|mod_groups                       = ReducedManaReservationsCost
|domain                           = 1
|generation_type                  = 2
|required_level                   = 82
|name                             = of Shaping
|mod_type                         = ManaReservationEfficiency
|stat_text                        = (6-10)% increased [[Mana Reservation]] Efficiency of [[Skill|Skills]]
|stat1_id                         = base_mana_reservation_efficiency_+%
|stat1_min                        = 6
|stat1_max                        = 10
|spawn_weight1_tag                = amulet_shaper
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
