{{Item
|rarity_id                               = normal
|name                                    = Essence Scarab of Stability
|class_id                                = MapFragment
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = With the right tools and a precise hand, the manipulation of the crystals<br>can be made predictable.
|drop_level                              = 73
|tags                                    = scarab, scarab_grants_extra_content, essence_scarab, uncommon_scarab, default
|metadata_id                             = Metadata/Items/Scarabs/ScarabEssence3
|help_text                               = Can be used in a personal Map Device to add modifiers to a Map.
|stack_size                              = 20
|description                             = Using a Remnant of Corruption in Area can only result in<br>upgrading or transforming Essences
|stack_size_currency_tab                 = 5000
|map_fragment_limit                      = 1
|map_fragment_bonus1                     = ScarabEssence4
}}
