{{Mod
|id                               = DamageRemovedFromSpectresUnique__1
|mod_groups                       = DamageRemovedFromMinion
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = DamageRemovedFromSpectres
|stat_text                        = 10% of Damage from [[Hit|Hits]] is taken from your Spectres' [[Life]] before you
|stat1_id                         = damage_removed_from_spectres_before_life_or_es_%
|stat1_min                        = 10
|stat1_max                        = 10
|tags                             = minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
