{{Mod
|id                               = MinionDamageAndManaOnWeapon5
|mod_groups                       = SpellDamageAndMana
|domain                           = 1
|generation_type                  = 1
|required_level                   = 46
|name                             = Duke's
|mod_type                         = MinionDamageOnWeaponAndMana
|stat_text                        = [[Minion|Minions]] deal (25-29)% increased Damage<br>+(34-37) to maximum [[Mana]]
|stat1_id                         = minion_damage_+%
|stat1_min                        = 25
|stat1_max                        = 29
|stat2_id                         = base_maximum_mana
|stat2_min                        = 34
|stat2_max                        = 37
|spawn_weight1_tag                = two_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = weapon_can_roll_minion_modifiers
|spawn_weight2_value              = 800
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = resource, mana, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
