{{Passive skill
|id                                  = minion_life_resists_notable2634
|int_id                              = 25409
|name                                = Indomitable Army
|is_notable                          = True
|icon                                = LifeandResistancesofMinions
|stat1_id                            = minion_elemental_resistance_%
|stat1_value                         = 15
|stat2_id                            = minion_additional_physical_damage_reduction_%
|stat2_value                         = 15
|stat3_id                            = minion_no_extra_bleed_damage_while_moving
|stat3_value                         = 1
|stat_text                           = [[Minion|Minions]] have +15% to all [[Elemental Resistance|Elemental Resistances]]<br>[[Minion|Minions]] have 15% additional [[Physical Damage]] Reduction<br>Moving while Bleeding doesn't cause [[Minion|Minions]] to take extra Damage
|connections                         = mastery_miniondefence181,minion_life_resists2632,minion_life_resists2633
}}
