{{Mod
|id                               = FortifyEffectWhileStationaryUber1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = FortifyEffectWhileStationary
|mod_type                         = FortifyEffectWhileStationary
|game_mode                        = 0
|stat_text                        = +4 to maximum Fortification while [[Stationary|stationary]]
|stat1_id                         = max_fortification_while_stationary_+1_per_5
|stat1_min                        = 20
|stat1_max                        = 20
|spawn_weight1_tag                = 2h_sword_shaper
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = influence_mod
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
