{{Mod
|id                               = ManaReservationEfficiencyEssence5__
|mod_groups                       = ReducedManaReservationsCost
|domain                           = 1
|generation_type                  = 2
|required_level                   = 58
|name                             = of the Essence
|mod_type                         = ManaReservationEfficiency
|stat_text                        = (5-6)% increased [[Mana Reservation]] Efficiency of [[Skill|Skills]]
|stat1_id                         = base_mana_reservation_efficiency_+%
|stat1_min                        = 5
|stat1_max                        = 6
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
