{{Base item
|rarity_id                               = normal
|name                                    = Desperate Crusade
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Through despondent hardships, those strong of spirit shall claim the prize.
|drop_level                              = 68
|tags                                    = armour_divination, unique_divination, unique_armour_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardDesperateCrusade
|stack_size                              = 3
|description                             = {{c|unique|{{il|html=|Prism Guardian}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
