{{Passive skill
|id                                  = damage_ailment_critical_keystone_2182
|int_id                              = 23407
|name                                = Perfect Agony
|flavour_text                        = Your foes will beg not for their pitiful lives, but for a quick, merciful death.
|is_keystone                         = True
|icon                                = CritAilments
|stat1_id                            = keystone_ailment_crit
|stat1_value                         = 1
|stat_text                           = Modifiers to [[Critical Strike Multiplier]] also apply to Damage over Time Multiplier for Ailments from Critical Strikes at 50% of their value<br />30% less Damage with [[Hit|Hits]]
|connections                         = dexterity865
}}
