{{Mod
|id                               = VillageLocalChanceForBleedingDamage
|mod_groups                       = LocalChanceForBleedingDamage100FinalInflictedWithThisWeapon
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = LocalChanceForBleedingDamage100FinalInflictedWithThisWeapon
|stat_text                        = (10-20)% chance for Bleeding inflicted with this Weapon to deal 100% more Damage
|stat1_id                         = local_chance_for_bleeding_damage_+100%_final_inflicted_with_this_weapon
|stat1_min                        = 10
|stat1_max                        = 20
|tags                             = physical_damage, bleed, village_runesmithing_enchant, damage, physical, attack, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
