{{Passive skill
|id                                  = mana_rmc_regen_notable1878
|int_id                              = -27020
|name                                = Righteous Decree
|is_notable                          = True
|icon                                = Righteous Decree
|stat1_id                            = maximum_mana_+%
|stat1_value                         = 22
|stat2_id                            = base_mana_cost_-%
|stat2_value                         = 6
|stat_text                           = 22% increased maximum [[Mana]]<br>6% reduced [[Mana]] Cost of [[Skill|Skills]]
}}
