{{Mod
|id                               = UniqueConditionOnBuff__1
|mod_groups                       = AvoidAilmentsDuringHerBlessing
|domain                           = 1
|generation_type                  = 3
|required_level                   = 66
|mod_type                         = AvoidAilmentsDuringHerBlessing
|stat_text                        = 100% chance to Avoid being Ignited, Chilled or [[Freeze|Frozen]] with Her Blessing
|stat1_id                         = avoid_freeze_chill_ignite_%_with_her_blessing
|stat1_min                        = 100
|stat1_max                        = 100
|tags                             = elemental, fire, cold, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
