{{Base item
|rarity_id                               = normal
|name                                    = Desecrated Virtue
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Awoken virtuous slivers of the void,<br>defiled by the avaricious, <br>seized by the tyrannical.
|drop_level                              = 72
|tags                                    = corrupted_divination, gems_divination, gems_quality_divination, gems_levelled_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardDesecratedVirtue
|stack_size                              = 9
|description                             = {{c|gem|Level 6 Awakened Support Gem}}<br>{{c|default|Quality:}} {{c|augmented|+23%}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
