{{Mod
|id                               = NecropolisEvasion1
|domain                           = 36
|generation_type                  = 34
|required_level                   = 10
|mod_groups                       = NecropolisEvasion
|mod_type                         = NecropolisEvasion
|game_mode                        = 0
|stat_text                        = +20% chance to Evade [[Attack]] [[Hit|Hits]]
|stat1_id                         = chance_to_evade_attacks_%
|stat1_min                        = 20
|stat1_max                        = 20
|stat2_id                         = monster_necropolis_mod_value_+%
|stat2_min                        = 40
|stat2_max                        = 40
|spawn_weight1_tag                = default
|spawn_weight1_value              = 1000
}}
