{{Mod
|id                               = MinionDamageAndManaOnWeapon2_
|mod_groups                       = SpellDamageAndMana
|domain                           = 1
|generation_type                  = 1
|required_level                   = 11
|name                             = Viscount's
|mod_type                         = MinionDamageOnWeaponAndMana
|stat_text                        = [[Minion|Minions]] deal (10-14)% increased Damage<br>+(21-24) to maximum [[Mana]]
|stat1_id                         = minion_damage_+%
|stat1_min                        = 10
|stat1_max                        = 14
|stat2_id                         = base_maximum_mana
|stat2_min                        = 21
|stat2_max                        = 24
|spawn_weight1_tag                = two_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = weapon_can_roll_minion_modifiers
|spawn_weight2_value              = 2000
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = resource, mana, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
