{{Mod
|id                               = AncestralItemAdditionalProjectiles
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MonsterMultipleProjectile
|mod_type                         = MonsterMultipleProjectile
|game_mode                        = 0
|stat_text                        = [[Skill|Skills]] fire 4 additional Projectiles (Hidden)
|stat1_id                         = number_of_additional_projectiles
|stat1_min                        = 4
|stat1_max                        = 4
}}
