{{Mod
|id                               = RigwaldWolfFormBleedAndMaim
|mod_groups                       = CausesBleeding
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = BleedAndMaimOnHit
|stat_text                        = [[Attack|Attacks]] cause Bleeding (Hidden)<br>35% chance for [[Attack|Attacks]] to Maim on [[Hit]] against Bleeding Enemies (Hidden)
|stat1_id                         = global_bleed_on_hit
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = maim_bleeding_enemies_on_hit_%
|stat2_min                        = 35
|stat2_max                        = 35
|tags                             = bleed, physical, attack, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
