{{Passive skill
|id                                  = AscendancyHeirophant11
|int_id                              = 25651
|name                                = Conviction of Power
|ascendancy_class                    = Hierophant
|is_notable                          = True
|icon                                = DiscipleOfRuin (Hierophant)
|stat1_id                            = maximum_power_and_endurance_charges_+
|stat1_value                         = 1
|stat2_id                            = base_minimum_endurance_charges
|stat2_value                         = 4
|stat3_id                            = base_minimum_power_charges
|stat3_value                         = 4
|stat_text                           = +1 to Maximum [[Power Charge|Power Charges]] and Maximum [[Endurance Charge|Endurance Charges]]<br>+4 to Minimum [[Endurance Charge|Endurance Charges]]<br>+4 to Minimum [[Power Charge|Power Charges]]
|connections                         = AscendancyHeirophant6
}}
