{{Mod
|id                               = SupportedByArrowNovaUnique__1
|mod_groups                       = SupportedByArrowNova
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportArrowNova
|mod_type                         = SupportedByArrowNova
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Level]] 1 Arrow Nova
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_rain
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
