{{Passive skill
|id                                  = AscendancyCustomGuardian12
|int_id                              = 1830
|name                                = Devout of Ralakesh
|ascendancy_class                    = Guardian
|is_notable                          = True
|icon                                = RadientFaith (Guardian)
|stat1_id                            = base_minimum_frenzy_charges
|stat1_value                         = 3
|stat2_id                            = base_minimum_power_charges
|stat2_value                         = 3
|stat3_id                            = base_minimum_endurance_charges
|stat3_value                         = 3
|stat_text                           = +3 to Minimum [[Frenzy Charge|Frenzy Charges]]<br>+3 to Minimum [[Power Charge|Power Charges]]<br>+3 to Minimum [[Endurance Charge|Endurance Charges]]
}}
