{{Passive skill
|id                                  = totem_ranged_damage2667
|int_id                              = 4750
|name                                = Totem Attack and Placement Speed
|icon                                = RangedTotemAttackSpeed
|stat1_id                            = totem_skill_attack_speed_+%
|stat1_value                         = 5
|stat2_id                            = summon_totem_cast_speed_+%
|stat2_value                         = 10
|stat_text                           = [[Attack|Attacks]] used by [[Totem|Totems]] have 5% increased [[Attack Speed]]<br>10% increased [[Totem]] Placement speed
|connections                         = totem_ranged_damage2668,totem_ranged_damage2668,totem_ranged_damage2669
}}
