{{Passive skill
|id                                  = AscendancyCustomNecromancer14
|int_id                              = 38400
|name                                = Toad Pact
|ascendancy_class                    = Necromancer
|is_notable                          = True
|icon                                = VoodooShamanBloodMagic2 (VoodooShaman)
|stat1_id                            = base_skill_area_of_effect_+%
|stat1_value                         = 50
|stat2_id                            = skill_effect_duration_+%
|stat2_value                         = 50
|stat3_id                            = base_projectile_speed_+%
|stat3_value                         = 50
|stat4_id                            = base_resist_all_elements_%
|stat4_value                         = -20
|stat_text                           = 50% increased Area of Effect<br>50% increased [[Skill]] Effect Duration<br>50% increased Projectile Speed<br>-20% to all [[Elemental Resistance|Elemental Resistances]]
}}
