{{Mod
|id                               = HeistNPCGlobalAddedPhysicalDamage3
|mod_groups                       = AddedPhysicalDamage
|domain                           = 23
|generation_type                  = 1
|required_level                   = 75
|name                             = Polished
|mod_type                         = HeistNPCGlobalAddedPhysicalDamage
|stat_text                        = (6-8) to (9-11) added Physical Damage<br />Players and their [[Minion|Minions]] have (6-8) to (9-11) added [[Physical Damage]]
|stat1_id                         = player_and_minion_global_minimum_added_physical_damage
|stat1_min                        = 6
|stat1_max                        = 8
|stat2_id                         = player_and_minion_global_maximum_added_physical_damage
|stat2_min                        = 9
|stat2_max                        = 11
|spawn_weight1_tag                = heist_equipment_weapon
|spawn_weight1_value              = 600
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = physical_damage, damage, physical
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
