{{Mod
|id                               = WeaponTreeMarkEffectIncreasedMarkCost1
|mod_groups                       = WeaponTreeMarkEffectIncreasedMarkCost
|domain                           = 1
|generation_type                  = 31
|required_level                   = 24
|mod_type                         = WeaponTreeMarkEffectIncreasedMarkCost
|stat_text                        = 15% increased Effect of your Marks<br>100% increased [[Mana]] Cost of Mark [[Skill|Skills]]
|stat1_id                         = mark_skills_curse_effect_+%
|stat1_min                        = 15
|stat1_max                        = 15
|stat2_id                         = mark_skill_mana_cost_+%
|stat2_min                        = 100
|stat2_max                        = 100
|spawn_weight1_tag                = wand
|spawn_weight1_value              = 50
|spawn_weight2_tag                = one_hand_weapon
|spawn_weight2_value              = 250
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
}}
