{{Mod
|id                               = HeraldsAlwaysCost45Unique__1
|mod_groups                       = HeraldsAlwaysCost45
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = HeraldsAlwaysCost45
|stat_text                        = [[Mana Reservation]] of Herald [[Skill|Skills]] is always 45%
|stat1_id                         = herald_mana_reservation_override_45%
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
