{{Mod
|id                               = ManaGainPerTargetInfluenceMaven
|mod_groups                       = ManaGainPerTarget
|domain                           = 1
|generation_type                  = 2
|required_level                   = 78
|name                             = of the Elevated Hunt
|mod_type                         = ManaGainPerTargetMaven
|stat_text                        = Gain (3-5) [[Mana]] per Enemy [[Hit]] with [[Attack|Attacks]]<br>(10-20)% increased [[Attack Speed]] while not on [[Low Mana]]
|stat1_id                         = mana_gain_per_target
|stat1_min                        = 3
|stat1_max                        = 5
|stat2_id                         = attack_speed_+%_while_not_on_low_mana
|stat2_min                        = 10
|stat2_max                        = 20
|spawn_weight1_tag                = gloves_basilisk
|spawn_weight1_value              = 0
|spawn_weight2_tag                = quiver_basilisk
|spawn_weight2_value              = 0
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = resource, mana, attack, speed
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
