{{Passive skill
|id                                  = affliction_notable_blessed_rebirth
|int_id                              = 42126
|name                                = Blessed Rebirth
|is_notable                          = True
|icon                                = IncreaseMinionLifeNotable
|stat1_id                            = minion_maximum_life_+%
|stat1_value                         = 20
|stat2_id                            = minion_summoned_recently_cannot_be_damaged
|stat2_value                         = 1
|stat_text                           = [[Minion|Minions]] have 20% increased maximum [[Life]]<br>[[Minion|Minions]] created [[Recently]] cannot be Damaged
}}
