{{Mod
|id                               = NecropolisMaim1
|domain                           = 36
|generation_type                  = 34
|required_level                   = 1
|mod_groups                       = NecropolisMaim
|mod_type                         = NecropolisMaim
|game_mode                        = 0
|stat_text                        = [[Attack|Attacks]] have 25% chance to Maim on [[Hit]]
|stat1_id                         = maim_on_hit_%
|stat1_min                        = 25
|stat1_max                        = 25
|spawn_weight1_tag                = default
|spawn_weight1_value              = 600
}}
