{{Mod
|id                               = SynthesisImplicitReducedManaCost1_
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = ManaCostReduction
|mod_type                         = ManaCostReduction
|game_mode                        = 0
|stat_text                        = 2% reduced [[Mana]] Cost of [[Skill|Skills]]
|stat1_id                         = base_mana_cost_-%
|stat1_min                        = 2
|stat1_max                        = 2
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
