{{Mod
|id                               = ManaLeechOnShockedEnemiesUniqueRing19
|mod_groups                       = ManaLeechOnShockedEnemies
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ManaLeechOnShockedEnemies
|stat_text                        = 1% of Damage against [[Shock|Shocked]] Enemies Leeched as [[Mana]]
|stat1_id                         = old_do_not_use_mana_leech_%_vs_shocked_enemies
|stat1_min                        = 5
|stat1_max                        = 5
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
