{{Passive skill
|id                                  = melee_damage2020
|int_id                              = 62319
|name                                = Melee Damage
|icon                                = damagemelee
|stat1_id                            = melee_physical_damage_+%
|stat1_value                         = 4
|stat2_id                            = melee_weapon_ailment_damage_+%
|stat2_value                         = 4
|stat_text                           = 4% increased Melee [[Physical Damage]]<br>[[Attack|Attacks]] with Melee Weapons deal 4% increased Damage with Ailments
|connections                         = strength794,melee_damage2019,strength794
}}
