{{Mod
|id                               = EnergyShieldPerBlueSocketUniqueRing39
|mod_groups                       = EnergyShieldPerBlueSocket
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = EnergyShieldPerBlueSocket
|stat_text                        = +100 to Maximum [[Energy Shield]] per Blue [[Item socket|Socket]]
|stat1_id                         = base_maximum_energy_shield_per_blue_socket_on_item
|stat1_min                        = 100
|stat1_max                        = 100
|tags                             = defences, energy_shield
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
