{{Mod
|id                               = NecropolisChill1
|domain                           = 36
|generation_type                  = 34
|required_level                   = 9
|mod_groups                       = NecropolisChill
|mod_type                         = NecropolisChill
|game_mode                        = 0
|stat_text                        = All Damage with [[Hit|Hits]] can [[Chill]]
|stat1_id                         = all_damage_can_chill
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = monster_necropolis_mod_value_+%
|stat2_min                        = 40
|stat2_max                        = 40
|spawn_weight1_tag                = default
|spawn_weight1_value              = 300
}}
