{{Mod
|id                               = FlaskChanceToNotConsumeChargesUber1_
|mod_groups                       = FlaskChargesUsed
|domain                           = 1
|generation_type                  = 1
|required_level                   = 82
|name                             = The Elder's
|mod_type                         = FlaskChanceToNotConsumeCharges
|stat_text                        = (6-10)% chance for Flasks you use to not consume [[Charge|Charges]]
|stat1_id                         = flasks_%_chance_to_not_consume_charges
|stat1_min                        = 6
|stat1_max                        = 10
|spawn_weight1_tag                = belt_elder
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
