{{Mod
|id                               = LocalVaalAreaOfEffectUnique__1
|mod_groups                       = LocalVaalAreaOfEffect
|domain                           = 1
|generation_type                  = 3
|required_level                   = 80
|granted_skill                    = UniqueSupportLocalVaalAreaOfEffect
|mod_type                         = LocalVaalAreaOfEffect
|stat_text                        = [[Item socket|Socketed]] Vaal [[Skill|Skills]] have 60% increased Area of Effect
|stat1_id                         = local_display_socketed_vaal_skills_area_of_effect_+%
|stat1_min                        = 60
|stat1_max                        = 60
|tags                             = vaal
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
