{{Mod
|id                               = ChanceToAvoidFireDamageEssence6
|mod_groups                       = FireDamageAvoidance
|domain                           = 1
|generation_type                  = 2
|required_level                   = 74
|name                             = of the Essence
|mod_type                         = FireDamageAvoidance
|stat_text                        = (8-9)% chance to Avoid [[Fire Damage]] from [[Hit|Hits]]
|stat1_id                         = avoid_fire_damage_%
|stat1_min                        = 8
|stat1_max                        = 9
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental, fire
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
