{{Mod
|id                               = SwordBonus1
|mod_groups                       = SpecificWeaponBonuses
|domain                           = 1
|generation_type                  = 3
|required_level                   = 2
|name                             = Blademaster's
|mod_type                         = SwordBonuses
|stat_text                        = 5% increased [[Physical Damage]] with [[Sword|Swords]]<br>2% increased [[Attack Speed]] with [[Sword|Swords]]<br>3% increased [[Accuracy Rating]] with [[Sword|Swords]]
|stat1_id                         = physical_sword_damage_+%
|stat1_min                        = 5
|stat1_max                        = 5
|stat2_id                         = sword_attack_speed_+%
|stat2_min                        = 2
|stat2_max                        = 2
|stat3_id                         = sword_accuracy_rating_+%
|stat3_min                        = 3
|stat3_max                        = 3
|tags                             = physical_damage, damage, physical, attack, speed
}}
