{{Base item
|rarity_id                               = normal
|name                                    = The Astromancer
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = They would say that he was a dangerous man,<br>unbound by the sense of morality,<br>but what does this matter,<br>when his love for humanity is undeniable<br>and completion of his work would benefit everyone?
|drop_level                              = 81
|tags                                    = armour_divination, shaper_divination, elder_divination, unique_divination, corrupted_divination, unique_corrupted_divination, unique_armour_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheAstromancer
|stack_size                              = 7
|description                             = {{c|unique|{{il|html=|The Eternity Shroud}}}}<br>{{c|corrupted|[[Two-Implicit]]}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
