{{Mod
|id                               = AttackAdditionalProjectilesUnique__1
|mod_groups                       = AttackAdditionalProjectiles
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AttackAdditionalProjectiles
|stat_text                        = [[Attack|Attacks]] fire an additional Projectile
|stat1_id                         = attacks_number_of_additional_projectiles
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
