{{Mod
|id                               = LocalIncreaseSocketedBowGemLevel2
|mod_groups                       = IncreaseSpecificSocketedGemLevel
|domain                           = 1
|generation_type                  = 1
|required_level                   = 64
|name                             = Sharpshooter's
|mod_type                         = LocalIncreaseSocketedBowGemLevel
|stat_text                        = +2 to [[Level]] of [[Item socket|Socketed]] [[Bow]] Gems
|stat1_id                         = local_socketed_bow_gem_level_+
|stat1_min                        = 2
|stat1_max                        = 2
|spawn_weight1_tag                = bow
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = attack, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
