{{Skill
|gem_description                         = Supports projectile attack skills.
|skill_id                                = SupportAwakenedViciousProjectiles
|support_gem_letter                      = d
|required_level                          = 72
|quality_type1_weight                    = 1
|quality_type1_stat_text                 = Supported Skills deal (0.5-10)% increased Physical Damage
|quality_type1_breakpoints               = 2.0
|quality_type1_stat1_id                  = physical_damage_+%
|quality_type1_stat1_value               = 500
|static_cost_multiplier                  = 130
|static_damage_effectiveness             = 100
|static_damage_multiplier                = 100
|static_attack_speed_multiplier          = 100
|static_stat1_id                         = support_projectile_attack_speed_+%_final
|static_stat1_value                      = -10
|stat_text                               = Supported Skills deal (50-59)% more Chaos Damage over Time<br>Supported Skills deal (50-59)% more Physical Damage over Time<br>Supported Skills deal (50-59)% more Physical Projectile Attack Damage<br>Supported Skills have 10% less Projectile Attack Speed
|level1                                  = True
|level1_level_requirement                = 72
|level1_stat_text                        = Supported Skills deal 50% more Chaos Damage over Time<br>Supported Skills deal 50% more Physical Damage over Time<br>Supported Skills deal 50% more Physical Projectile Attack Damage
|level1_stat1_id                         = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level1_stat1_value                      = 50
|level1_stat2_id                         = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level1_stat2_value                      = 50
|level1_stat3_id                         = support_projectile_attack_physical_damage_+%_final
|level1_stat3_value                      = 50
|level2                                  = True
|level2_level_requirement                = 74
|level2_stat_text                        = Supported Skills deal 51% more Chaos Damage over Time<br>Supported Skills deal 51% more Physical Damage over Time<br>Supported Skills deal 51% more Physical Projectile Attack Damage
|level2_stat1_id                         = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level2_stat1_value                      = 51
|level2_stat2_id                         = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level2_stat2_value                      = 51
|level2_stat3_id                         = support_projectile_attack_physical_damage_+%_final
|level2_stat3_value                      = 51
|level3                                  = True
|level3_level_requirement                = 76
|level3_stat_text                        = Supported Skills deal 52% more Chaos Damage over Time<br>Supported Skills deal 52% more Physical Damage over Time<br>Supported Skills deal 52% more Physical Projectile Attack Damage
|level3_stat1_id                         = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level3_stat1_value                      = 52
|level3_stat2_id                         = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level3_stat2_value                      = 52
|level3_stat3_id                         = support_projectile_attack_physical_damage_+%_final
|level3_stat3_value                      = 52
|level4                                  = True
|level4_level_requirement                = 78
|level4_stat_text                        = Supported Skills deal 53% more Chaos Damage over Time<br>Supported Skills deal 53% more Physical Damage over Time<br>Supported Skills deal 53% more Physical Projectile Attack Damage
|level4_stat1_id                         = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level4_stat1_value                      = 53
|level4_stat2_id                         = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level4_stat2_value                      = 53
|level4_stat3_id                         = support_projectile_attack_physical_damage_+%_final
|level4_stat3_value                      = 53
|level5                                  = True
|level5_level_requirement                = 80
|level5_stat_text                        = Supported Skills deal 59% more Chaos Damage over Time<br>Supported Skills deal 59% more Physical Damage over Time<br>Supported Skills deal 59% more Physical Projectile Attack Damage
|level5_stat1_id                         = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level5_stat1_value                      = 59
|level5_stat2_id                         = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level5_stat2_value                      = 59
|level5_stat3_id                         = support_projectile_attack_physical_damage_+%_final
|level5_stat3_value                      = 59
|level6                                  = True
|level6_level_requirement                = 82
|level6_stat_text                        = Supported Skills deal 60% more Chaos Damage over Time<br>Supported Skills deal 60% more Physical Damage over Time<br>Supported Skills deal 60% more Physical Projectile Attack Damage
|level6_stat1_id                         = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level6_stat1_value                      = 60
|level6_stat2_id                         = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level6_stat2_value                      = 60
|level6_stat3_id                         = support_projectile_attack_physical_damage_+%_final
|level6_stat3_value                      = 60
|level7                                  = True
|level7_level_requirement                = 84
