{{Mod
|id                               = FlaskVaalSkillDamageUnique__1
|mod_groups                       = FlaskVaalSkillDamage
|domain                           = 2
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = FlaskVaalSkillDamage
|stat_text                        = (60-80)% increased Damage with Vaal [[Skill|Skills]] during effect
|stat1_id                         = local_unique_flask_vaal_skill_damage_+%_during_flask_effect
|stat1_min                        = 60
|stat1_max                        = 80
|tags                             = flask, vaal
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
