{{Base item
|rarity_id                               = normal
|name                                    = Grand Black Scythe Artifact
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 2
|drop_level                              = 10
|tags                                    = disallowed_in_generic_currency_stash_slots, expedition_currency_faction2, currency, default
|metadata_id                             = Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction2_3
|stack_size                              = 25000
|help_text                               = These can be used to trade with Tujen.<br>Shift click to unstack.
|stack_size_currency_tab                 = 25000
}}
